method_id,trajectory_id,checkpoint,value_accuracy,status_accuracy,evidence_hit_rate,evidence_citation_precision,exact_state_match
fc_openrouter_gpt_oss_120b,traj_008,270,0.47058823529411764,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_008,285,0.5,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_008,300,0.47058823529411764,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_009,15,0.8823529411764706,0.9411764705882353,0.2,1.0,False
fc_openrouter_gpt_oss_120b,traj_009,30,0.8529411764705882,0.9117647058823529,0.16666666666666666,1.0,False
fc_openrouter_gpt_oss_120b,traj_009,45,0.7941176470588235,0.8235294117647058,0.09090909090909091,1.0,False
fc_openrouter_gpt_oss_120b,traj_009,60,0.6764705882352942,0.7647058823529411,0.08333333333333333,0.16666666666666666,False
fc_openrouter_gpt_oss_120b,traj_009,75,0.6176470588235294,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_009,90,0.6764705882352942,0.8823529411764706,0.08333333333333333,1.0,False
fc_openrouter_gpt_oss_120b,traj_009,105,0.6764705882352942,0.8823529411764706,0.09090909090909091,0.5,False
fc_openrouter_gpt_oss_120b,traj_009,120,0.6764705882352942,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_009,135,0.6470588235294118,0.7941176470588235,0.06666666666666667,0.5,False
fc_openrouter_gpt_oss_120b,traj_009,150,0.6176470588235294,0.7941176470588235,0.06666666666666667,1.0,False
fc_openrouter_gpt_oss_120b,traj_009,165,0.6764705882352942,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_009,180,0.6764705882352942,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_009,195,0.5882352941176471,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_009,210,0.6764705882352942,0.8823529411764706,0.08333333333333333,1.0,False
fc_openrouter_gpt_oss_120b,traj_009,225,0.6470588235294118,0.7941176470588235,0.06666666666666667,0.5,False
fc_openrouter_gpt_oss_120b,traj_009,240,0.5588235294117647,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_009,255,0.7058823529411765,0.9117647058823529,0.09090909090909091,0.5,False
fc_openrouter_gpt_oss_120b,traj_009,270,0.7058823529411765,0.7941176470588235,0.1,0.14285714285714285,False
fc_openrouter_gpt_oss_120b,traj_009,285,0.5294117647058824,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_009,300,0.5294117647058824,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,15,0.8529411764705882,0.9411764705882353,0.0,,False
fc_openrouter_gpt_oss_120b,traj_010,30,0.8823529411764706,0.9117647058823529,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,45,0.7352941176470589,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,60,0.6470588235294118,0.8235294117647058,0.0,0.0,False
