method_id,trajectory_id,checkpoint,visible_prefix_size,retrieved_evidence_count,visible_prefix_recall,visible_prefix_complete
fc_openrouter_gpt_oss_120b,traj_013,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_013,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_014,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_015,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_016,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_017,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,60,60,60,1.0,True
